notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
4/14/2020,Temporary Plant Layoff,Imagine Early Learning Centers,"7 Willowdale Avenue Pt. Washington, NY  11050",(718) 960-8553,School,33,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Layoff
4/22/2020,Temporary Plant Layoff,"Quincy Compressor, LLC","87 East Jefryn Blvd., Unit B Deer Park, NY 11729",(973) 606-8217,Air Compressor Manufacturer,20,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/21/2020,Plant Closing,"Highgate Hotels, L.P. dba The Maxwell Hotel NYC","541 Lexington Avenue New York, NY 10022",(212) 407-2915,Hotel,397,397,4/25/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Plant Closing
4/3/2020,Plant Layoff,"Mid Rockland Imaging Partners, Inc.",(Several sites in Long Island),(302) 533-2102,Diagnostic Imaging Center,18,-----,Layoffs occurred between 3/25/2020 and 4/1/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
4/3/2020,Plant Layoff,"Mid Rockland Imaging Partners, Inc.",(Several sites in NYC),(302) 533-2102,Diagnostic Imaging Center,74,-----,Layoffs occurred between 3/25/2020 and 4/1/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
4/22/2020,Temporary Plant Layoff/Plant Layoff,"Action Environmental Systems, LLC","920 132nd Street Bronx, NY 10454",(973) 286-7064,Waste Services and Material Recycling,55,-----,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,"Waste Material Recycling and General Industrial Laborers Local 108, L.I.U.N.A., AFL-CIO",Temporary Plant Layoff/Plant Layoff
4/3/2020,Temporary Plant Layoff,"Global Operations Security Services, Inc.","54 W. 39th Street, 5th Floor New York, NY 10018",(917) 400-4109,Security Services,115,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Closing,"144 PQ 97th Street, Inc.","1399 Madison Avenue New York, NY 10029",(646) 553-1323,Restaurant,32,32,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/17/2020,Temporary Plant Closing,Tacombi,"265 Bowery New York, NY 10002",(570) 751-6882,Restaurant,357,357,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Layoff,Wolf on Broadway LLC dba Wolfgang's Steakhouse,"1359 Broadway New York, NY 10018",(646) 642-4655,Restaurant,67,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Closing,Wolf Westside LLC dba Wolfgang's Steakhouse,"250 West 41st Street New York, NY 10018",(646) 642-4655,Restaurant,76,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,The Surrey Hotel,"20 E. 76th Street New York, NY 10021",(646) 358-3605,Hotel,110,110,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
4/17/2020,Temporary Plant Layoff,Aludyne New York,"4320 Federal Drive Batavia, NY 14020",(585) 815-1726,Manufacturing,103,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,"UAW Union, Local 481",Temporary Plant Layoff
3/25/2020,Temporary Plant Closing,Funburger Corporation dba Curry-Ya,"1467 Amsterdam Ave New York, NY 10027",(212) 228-3030,Restaurant,-----,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/8/2020,Temporary Plant Layoff,Major Dough Soho 463 LLC,"463 W Broadway New York, NY 10012",-----,Restaurant,68,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,BC Hospitality Group LLC,"205 Hudson Street, Suite 1001 New York, NY 10013",(646) 389-0882,Restaurant,3,-----,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,E2 60 West 22nd Street LLC,"60 W 22nd Street New York, NY 10010",(646) 389-0882,Restaurant,24,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,E2 185 Bleecker LLC,"185 Bleecker St. New York, NY 10012",(646) 389-0882,Restaurant,21,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,BC 1385 Broadway LLC,"1385 Broadway New York, NY 10003",(646) 389-0882,Restaurant,15,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,CW SSS LLC,"181 Front Street New York, NY 10038",(646) 389-0882,Restaurant,16,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,E2 Lafayette LLC,"240 Lafayette St. New York, NY 10012",(646) 389-0882,Restaurant,24,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Closing,BC Union Square LLC,"30 E. 16th Street New York, NY 10003",(646) 389-0882,Restaurant,18,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,BC 630 Lexington LLC,"630 Lexington Avenue New York, NY 10022",(646) 389-0882,Restaurant,12,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Layoff,BCRC LLC,"1 Rockefeller Plaza New York, NY 10020",(646) 389-0882,Restaurant,26,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,BC Williamsburg LLC,"171 N. 3rd Street Brooklyn, NY 11211",(646) 389-0882,Restaurant,17,-----,3/23/2020,EconomicUnforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Plant Closing,Zaro's Family Bakery,"138 Bruckner Blvd. Bronx, NY 10454",(917) 792-2685,Bakery,64,64,7/19/2020,Relocation,"The Bakery , Confectionary, Tobacco Workers & Grain Millers Union, Local 53  or Teamsters Local 805 Union",Plant Closing
4/17/2020,Temporary Plant Closing,MBRP Restaurant Inc.,"1454 2nd Avenue New York, NY 10021",(212) 737-9391 Ext,Restaurant,89,89,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,Mirabi Inc. dba Down The Hatch,"179-175 West 4th Street New York, NY 10014",(212) 737-9391 Ext,Restaurant,19,19,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,442 Amsterdam Ave. Rest. Corp. dba The Gin Mill,"442 Amsterdam Ave. New York, NY 10024",(212) 737-9391 Ext,Restaurant,32,32,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,Third Ave. Restaurant Inc. dba Jake's Dilemma,"430 Amsterdam Avenue New York, NY 10024",(212) 737-9391 Ext,Restaurant,26,26,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,Macdougal Restaurant dba Off The Wagon,"109 Macdougal Street New York, NY 10012",(212) 737-9391 Ext,Restaurant,25,25,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"149 Second Ave. Rest., Inc. dba The 13th Step","149 2nd Avenue New York, NY 10003",(212) 737-9391 Ext,Restaurant,33,33,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"134 West 3rd Street Rest, Inc. dba 3 Sheets Saloon","134 West 3rd Street New York, NY 10012",(212) 737-9391 Ext,Restaurant,34,34,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,168 Orchard Street Partners Inc. dba Hair of the Dog,"168 Orchard Street New York, NY 10002",(212) 737-9391 Ext,Restaurant,18,18,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/17/2020,Temporary Plant Layoff,The Roger Smith Hotel,"501 Lexington Avenue New York, NY 10017",(212) 755-1400 Ext,Hotel,29,-----,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Layoff
4/16/2020,Plant Layoff,Cathay Pacific Airways Ltd.,"JFK International Airport, Room 15-278, Terminal 8 Jamaica, NY 11430",(604) 889-2033,Airline Services,67,-----,6/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
4/16/2020,Plant Layoff,Cathay Pacific Airways Ltd.,"JFK International Airport, Room 15-278, Terminal 8 Jamaica, NY 11430",(604) 889-2033,Airport Services,1,-----,7/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
4/16/2020,Plant Layoff,Cathay Pacific Airways Ltd.,"JFK International Airport, Room 15-278, Terminal 8 Jamaica, NY 11430",(604) 889-2033,Airline Services,1,-----,6/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
3/23/2020,Temporary Plant Closing,"Intercos America, Inc.","200 Route 303 North Congers, NY 10920",(845) 729-0112,Cosmetic Manufacturing,204,352,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/23/2020,Temporary Plant Closing,"Intercos America, Inc.","37 West 57th Street New York, NY 10019",(845) 729-0112,Cosmetic Manufacturer,7,7,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/18/2020,Temporary Plant Closing,Apogee Events,"2 Desbrosses St. New York, NY 10013",(631) 312-6689,Catering,-----,-----,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/18/2020,Temporary Plant Closing,Lovin Oven Catering of Suffolk LLC,"640 Johnson Avenue, Suite 103 Bohemia, NY 11716",(631) 312-6689,Catering,13,-----,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/20/2020,Temporary Plant Layoff,American Steamship Company,"500 Essjay Road Williamsville, NY 14221",(716) 635-1353,Transportation,185,-----,4/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/8/2020,Temporary Plant Layoff,"JC Broderick & Associates, Inc.","1775 Express Drive North Hauppauge, NY 11788",(631) 584-5492,Environmental Consulting,41,-----,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/18/2020,Plant Closing,Poughkeepsie Day School,"260 Boardman Road Poughkeepsie, NY 12603",(718) 724-3378,School,63,-----,"4/16/2020 and June 30, 2020",Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Closing
3/24/2020,Temporary Plant Layoff (Furlough),"Mid Rockland Imaging Partners, Inc.","Several NYC sites New York, NY 11203",(302) 533-2102,Diagnostic Imaging Center,545,-----,Furloughs began on 3/24/2020 and are expected to last through 4/30/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/16/2020,Temporary Plant Layoff,Allied Aviation Services Inc.,"266 West 37th Street, 3rd Floor, Suite 302 New York, NY 10018",(626) 318-4120,Airline Services,1,-----,4/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/20/2020,Temporary Plant Layoff,"Allied Aviation Service Company of New York, Inc.","LaGuardia Airport Queens, NY 11371",(347) 226-1320,Airline Services,17,-----,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,"Transport Workers Union of America, Air Transport Local 504, AFL-CIO/International Association of Machinists and Aerospace Workers-District 142/TWA Local 504/IAM Dist. 142",Temporary Plant Layoff
4/21/2020,Temporary Plant Layoff,Imagine Early Learning Centers,"250 Bedford Park Blvd. West Bronx, NY 10468",(718) 960-8553,School,91,------,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/24/2020,Temporary Plant Layoff (Furlough),"Mid Rockland Imaging Partners, Inc.","Several Hudson Valley Region sites New City, NY  10956",(302) 533-2102,Diagnostic Imaging Center,85,-----,Furloughs began on 3/24/2020 and are expected to last through 4/30/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
3/24/2020,Temporary Plant Layoff (Furlough),"Mid Rockland Imaging Partners, Inc.","Several Long Island sites East Islip, NY 11730",(302) 533-2102,Diagnostic Imaging Center,90,-----,Furloughs began on 3/24/2020 and are expected to last through 4/30/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/16/2020,Temporary Plant Layoff,"CBLPath, Inc.","760 Westchester Ave. Rye Brook, NY 10573",(914) 495-4105,Medical Laboratory,60,-----,4/14/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,"1650 Broadway Associates, Inc.","1650 Broadway New York, NY 10019",(212) 582-0161,Restaurant,280,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,Wolf Gotham LLC dba Wolfgang's Steakhouse,"16 East 46th Street New York, NY 10017",(917) 400-5330,Restaurant,24,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,"Wolf at Tribeca, Inc. dba Wolfgang's Steakhouse","409 Greenwich Street New York, NY 10013",(917) 400-5330,Restaurant,63,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,ZMF Restaurants LLC dba Wolfgang's Steakhouse,"4 Park Avenue New York, NY 10016",(917) 400-5330,Restaurant,57,-----,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,1345 Leasehold LLC,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 388-3529,Building Services,9,------,3/28/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,Plaza Cleaning Service Company II LP,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 388-3529,Building Services,20,-----,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,"Park Avenue Plaza Owner, LLC","299 Park Avenue, 42nd Floor New York, NY 10171",(212) 388-3529,Building Services,14,-----,3/28/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/25/2020,Temporary Plant Layoff,Forest Electric Corp.,"1375 Broadway New York, NY 10018",(212) 318-1735,Electric Company,93,-----,"72 employees were separated on March 25, 2020.  An additional one (1) employee will be temporarily separated on April 10, 2020; 18 employees on April 3, 2020; 1 employee on March 30, 2020; and 1 employee on March 31, 2020.",Unforeseeable business circumstances prompted by COVID-19,IBEW Local Union No. 3,Temporary Plant Layoff
2/28/2020,Plant Layoff (Conditional),"Swissport SA, LLC (JFK airport)","JFK International Airport, Building 141 Jamaica, NY 11430",(718) 656-1203,"Provides ground, cargo and passenger services",72,178,"The contract between Swissport and the Port Authority of New York and New Jersey has been extended from May 1, 2020 to July 1, 2020.  Employee separations may now occur on June 30, 2020.","The contract between Swissport and the Port Authority of New York and New Jersey expires on May 1, 2020.",IBT Local Union No. 295,Plant Layoff (Conditional)
4/18/2020,Temporary Plant Layoff,Fisher Park Lane Owner LLC,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 388-3529,Building Services,5,-----,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,-----,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,Fisher Brothers Financial & Development Co.,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 388-3529,Building Services,2,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,Fisher Brothers Management Co. LLC,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 388-3529,Building Services,16,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,1345 Cleaning Service Company II LP,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 388-3529,Building Services,35,-----,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,-----,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,605 Third Avenue Fee LLC,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 388-3529,Building Services,2,-----,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,-----,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,605 Cleaning Service Company II LP,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 940-6266,Building Services,16,-----,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,-----,Temporary Plant Layoff
4/18/2020,Temporary Plant Layoff,299 Cleaning Service Company II LP,"299 Park Avenue, 42nd Floor New York, NY 10171",(212) 940-6266,Building Services,22,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,-----,Temporary Plant Layoff
2/12/2020,Plant Layoff,Steuben Trust Company,"One Steuben Square Hornell, NY 14843",(315) 445-7334,Bank,42,60,"Layoffs will be postponed from the 14-day period of May 15, 2020 through May 28, 2020 to the 14-day period of June 12, 2020 through June 25, 2020.",Acquisition by Community Bank,The employees are not represented by a union.,Plant Layoff
4/17/2020,Temporary Plant Closing,"PQ New York, Inc. dba Le Pain Quotidien","127 PQ Bryant Park, Inc. 70 West 40th Street New York, NY 10018",(646) 553-1323,Restaurant,55,55,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,Le Pain Quotidien-HQ,"50 Broad Street, 12th Floor New York, NY 10004",(646) 553-1323,Restaurant,34,34,"The first separation of employees occurred on April 20, 2020 with other separations occurring on April 24, 2020, May 4, 2020 and May 8, 2020",Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/16/2020,Temporary Plant Layoff,Broome Street Food and Drink LLC,"Black Tap Craft Burgers & Beer 529 Broome Street New York, NY 10013",(646) 813-1877,Restaurant,52,-----,"51 employees were separated on 3/16/2020.  An additional one (1) employee will be furloughed commencing on March 16, 2020.",Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/16/2020,Temporary Plant Layoff,"Black Tap Midtown, LLC aka Black Tap Craft Burgers & Beer","136 West 55th Street New York, NY 10019",(646) 813-1877,Restaurant,87,-----,"86 employees were separated on 3/16/2020.  An additional one (1) employee will be furloughed commencing on March 16, 2020.",Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/16/2020,Temporary Plant Layoff,"Hotel 35, LLC aka Black Craft Burgers & Beer","45 West 35th Street New York, NY 10001",(646) 813-1877,Restaurant,90,-----,"88 employees were separated on 3/16/2020. An additional 2 employees will be furloughed commencing on March 16, 2020.",Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/30/2020,Temporary Plant Layoff,New York Cinema Investments LLC dba Cinepolis,"260 W 23rd St. New York, NY 10011",(972) 993-1553,Movie Theatre,49,-----,"37 employees were separated on 3/19/2020. An additional 12 employees will be temporarily separated on March 23, 2020.",Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Closing,"126 PQ Union Square, Inc.","801 Broadway New York, NY 10003",(646) 553-1323,Restaurant,33,33,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"131 PQ 53rd Street, Inc.","7 East 53rd Street New York, NY 10022",(646) 553-1323,Restaurant,54,54,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"133 PQ 6th Ave, Inc.","1271 6th Avenue New York, NY 10020",(646) 553-1323,Restaurant,48,48,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"116 PQ Central Park, Inc.","922 7th Avenue New York, NY 10019",(646) 553-1323,Restaurant,116,116,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"114 PQ Bakery, LLC","1131 Madison Avenue New York, NY 10028",(646) 553-1323,Restaurant,128,128,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"33rd Street Bakery, Inc.","43-27 33rd Street Long Island City, NY 11101",(646) 553-1323,Restaurant,101,101,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"121 PQ New York, Inc.","50 Broad Street, 12th Floor New York, NY 10004",(646) 553-1323,Restaurant,38,38,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/31/2020,Plant Layoff,Pierre Rougier PR Consulting Inc.,"100 Wall Street, 24th Floor New York, NY 10005",(212) 228-8181,PR Consulting,13,-----,Nine employees were separated on3/31/2020. An additional 2 employees will be permanently separated effective 4/9/2020. An additional 2 employees will be permanently separated effective 4/15/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
1/3/2020,Plant Closing,Catholic Guardian Services,"2959 Wallace Ave. Bronx, NY 10467",(212) 371-1000 Ext,Human services non-profit organization sponsored by the Catholic Charities of the Archdiocese of New York with programs that help a large needy population in the New York metropolitan area.,19,173,"Separations for the 173 affected employees have been extended from April 2, 2020 or within 14 days thereafter to June 30, 2020 or within 14 days thereafter.",Economic,United Food & Commercial Workers’ Union (UFCW)) Local 888,Plant Closing
3/25/2020,Temporary Plant Closing,"85th & 3rd LLC (Pizza Loves Emily Holdings, LLC)","1426 3rd Avenue New York, NY 10028",(704) 661-8524,Restaurant,167,167,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/17/2020,Temporary Plant Layoff,The Ribbon Worldwide LLC,"20 W. 72nd Street New York, NY 10023",(212) 582-0161,Theater,77,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Temporary Plant Layoff,The Ribbon Worldwide 44 LLC,"220 W. 44th Street New York, NY 10036",(212) 582-0161,Theater,159,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/16/2020,Temporary Plant Layoff,"Omega Research and Development Technology, LLC","180 Marcus Blvd Hauppauge, NY 11788",(631) 436-6589,Wholesale Distribution,1,-----,4/6/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/16/2020,Temporary Plant Closing,MUJI U.S.A.,"250 W. 39th Street, Suite 202 New York, NY 10018",(646) 366-0515,Retail,247,-----,4/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
