notice_date,event_number,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
4/28/2020,2019-1547,Temporary Plant Layoff,Enterprise Holdings,"4200 Genesee St.Buffalo, NY 14225",Erie County,(919) 896-9192,Car Rental,93,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/28/2020,2019-1548,Plant Layoff,Enterprise Holdings,"4200 Genesee St.Buffalo, NY 14225",Erie County,(585) 235-2999 Ext,Car Rental,18,,4/30/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
4/28/2020,2019-1545,Temporary Plant Layoff,Enterprise Holdings,"1300 Brooks AvenueRochester, NY 14624",Monroe County,(919) 896-9192,Car Rental,169,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/28/2020,2019-1546,Plant Layoff,Enterprise Holdings,"1300 Brooks AvenueRochester, NY 14624",Monroe County,(585) 235-2999 Ext,Car Rental,4,,4/30/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
4/28/2020,2019-1549,Temporary Plant Layoff,TripAdvisor LLC and Smarter Travel Media,"330 Hudson StreetNew York, NY 10013",New York County,(781) 800-5341,Travel Agency,52,,5/5/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/6/2020,2019-1528,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Mohawk Valley Region locations,Montgomery/Schoharie/Oneida/Fulton/Madison County,(607) 273-1526 ext. 2329,Family planning services,14,,These,Unforeseeable business circumstances prompted by COVID-19,SEIU/1199,Plant Layoff
4/29/2020,2019-1565,Temporary Plant Layoff,"Lyft, Inc.","441 9th Avenue, Floor 2New York, NY 10001",New York County,(415) 504-2812,Transportation,53,,5/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/28/2020,2019-1550,Plant Layoff,"RTW Retailwinds, Inc.","330 West 34th StreetNew York, NY 10001",New York County,(212) 884-2030,Retail,192,,5/2/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
4/27/2020,2019-1566,Temporary Layoff,"USM, Inc.","1700 Markley St., Suite 100Norristown, PA 19401",New York County,(610) 313-2671,Janitorial Services,38,,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Layoff
4/6/2020,2019-1531,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple Southern Tier Region locations,Schuyler/Tompkins/Steuben/Chemung County,(607) 273-1526 ext. 2329,Family planning services,8,,These,Unforeseeable business circumstances prompted by COVID-19,SEIU/1199,Plant Layoff
4/22/2020,2019-1571,Temporary Plant Layoff,"Crescent Hotels & Resorts, LLC dba Hyatt Herald Square New York","30 West 31st StreetNew York, NY 10018",New York County,(703) 279-7820,Hotel,21,,3/14/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
5/1/2020,2019-1570,Temporary Plant Layoff,"Gemological Institute of America, Inc.","50 W. 47th StreetNew York, NY 10036",New York County,(917) 286-3604,"Gem Research, Education, and Laboratory",317,,5/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/30/2020,2019-1573,Temporary Plant Layoff,Screen Actors Guild-American Federation of Television & Radio Artists (SAG-AFTRA),"1900 Broadway, 5th FloorNew York, NY 10023",New York County,(323) 549-6631,Labor Union,39,,5/15/2020,Unforeseeable business circumstances prompted by COVID-19,-----,Temporary Plant Layoff
4/6/2020,2019-1533,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple Mid-Hudson Region locations,Dutchess/Sullivan/Orange/Ulster County,(607) 273-1526 ext. 2329,Family planning services,29,,These,Unforeseeable business circumstances prompted by COVID-19,SEIU/1199,Plant Layoff
4/30/2020,2019-1575,Temporary Plant Closing and Plant Closing,"Housing Works, Inc.","81 Willoughby StreetBrooklyn, NY 11201",New York/Kings/Queens County,(718) 408-6547,Non-profit,196,,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing and Plant Closing
4/6/2020,2019-1530,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple Captial Region locations,Warren/Saratoga/Schenectady County,(607) 273-1526 ext. 2329,Family planning services,22,,These,Unforeseeable business circumstances prompted by COVID-19,SEIU/1199,Plant Layoff
4/30/2020,2019-1568,Plant Closing,"Ivy Rehab Network, Inc.","Central Billing Office1377 Motor Pkwy.Islandia, NY 11749",Suffolk County,(914) 777-8700,Medical Billing,36,,5/6/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Closing
4/23/2020,2019-1555,Temporary Plant Layoff,"Coral Graphic Services, Inc.","840 S. BroadwayHicksville, NY 11801",Nassau County,(516) 349-4362,Commercial Printing,140,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/29/2020,2019-1551,Temporary & Permanent Layoff,Enterprise Holdings,"3125 Veterans Memorial HighwayRonkonkoma, NY 11779",Suffolk County,(631) 737-9100,Car Rental,113,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary & Permanent Layoff
4/15/2020,2019-1544,Temporary Plant Closing,Leonard's Palazzo,"555 Northern Blvd.Great Neck, NY 11021",Nassau County,(516) 487-7900,Event Venue,218,218,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/29/2020,2019-1552,Temporary Plant Layoff,Enterprise Holdings,"11 Northway Lane N.Latham, NY 12111",Albany County,(518) 383-3444,Car Rental,131,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/24/2020,2019-1554,Temporary Plant Layoff,"Crescent Hotels & Resorts LLC, dba Marriott Syracuse Downtown","100 E. Onondaga St.Syracuse, NY 13202",Onondaga County,(703) 279-7820,Hotel,142,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,"UNITEHERE Local 150, AFL-CIO",Temporary Plant Layoff
4/6/2020,2019-1532,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple Long Island Region locations,Nassau County,(607) 273-1526 ext. 2329,Family planning services,21,,These,Unforeseeable business circumstances prompted by COVID-19,SEIU/1199,Plant Layoff
4/29/2020,2019-1572,Temporary Plant Layoff,Buffalo Niagara Convention Center Management Corporation,"153 Franklin StreetBuffalo, NY 14202",Erie County,(716) 855-5559,Convention Center,35,,3/12/2020,Unforeseeable business circumstances prompted by COVID-19,SEIU and IUOE,Temporary Plant Layoff
4/27/2020,2019-1569,Temporary Plant Layoff,Watertown Family YMCA,"119 Washington StreetWatertown, NY 13601",Jefferson County,(315) 783-4947,Social Organization,149,,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/29/2020,2019-1574,Temporary Plant Layoff,"Auburn YMCA - WEIU, Inc.","27 William StreetAuburn, NY 13021",Cayuga County,(315) 253-5304 Ext,Social Organization,359,,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/28/2020,2019-1537 and 2019-1579,Plant Closing,Brookset Bus Corp.,(Nine Brookset Bus Corp. locations in Long Island & Mid-Hudson),Nassau/Suffolk County,(631) 471-4600,Transportation,132,132,March,The Company’s initial temporary layoffs were unforeseeable due to the impacts of COVID-19. The Company’s permanent layoffs and cessation of operations were due to Unforeseeable Business Circumstances in that the Company’s customers breached their Transportation Contracts by refusing to pay amounts due through the end of the school year.,"Teamsters Local 1205; United Service Workers Union Local 355; International Union of Journeymen & Allied Trades, Local 726",Plant Closing
4/28/2020,2019-1535 and 2019-1578,Plant Closing,"Baumann & Sons Buses, Inc.","(Six Baumann & Sons Buses, Inc. locations in Long Island & Mid-Hudson)",Suffolk County,(631) 471-4600,Transportation,209,209,March,The Company’s initial temporary layoffs were unforeseeable due to the impacts of COVID-19. The Company’s permanent layoffs and cessation of operations were due to Unforeseeable Business Circumstances in that the Company’s customers breached their Transportation Contracts by refusing to pay amounts due through the end of the school year.,"Teamsters Local 1205, United Service Workers Union Local 355",Plant Closing
4/28/2020,2019-1534 and 2019-1577,Plant Closing,Acme Bus Corp.,(Seven Acme Bus Corp. loctions in Long Island & Mid-Hudson),Suffolk County,(631) 471-4600,Transportation,814,814,March,The Company’s initial temporary layoffs were unforeseeable due to the impacts of COVID-19 and the Company’s permanent layoffs and cessation of operations were due to Unforeseeable Business Circumstances in that the Company’s customers breached their Transportation Contracts by refusing to pay amounts due through the end of the school year.,Teamsters Local 1205,Plant Closing
4/28/2020,2019-1536,Plant Closing,"Bauman Bus Company, Inc.","107 Lawson BoulevardOceanside, NY 11572",Nassau County,(631) 471-4600,Transportation,222,222,March,The Company’s initial temporary layoffs were unforeseeable due to the impacts of COVID-19. The Company’s permanent layoffs and cessation of operations were due to Unforeseeable Business Circumstances in that the Company’s customers breached their Transportation Contracts by refusing to pay amounts due through the end of the school year.,Transport Workers Union Local 252,Plant Closing
4/6/2020,2019-1529,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple New York City locations,New York/Kings/Queens/Bronx/Richmond County,(607) 273-1526 ext. 2329,Family planning services,146,,These,Unforeseeable business circumstances prompted by COVID-19,SEIU/1199,Plant Layoff
4/29/2020,2019-1556 through 2019-1564,Temporary Plant Closing,Regal Cinemas,(Statewide impacted sites),New York/Kings/Queens County,(865) 925-9831,Cinemas,1004,1004,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
3/19/2020,2019-1553,Temporary Plant Layoff,"Maison Kayser, LLC",(16 NYC sites),New York/Kings County,(917) 207-0788,Catering,689,,Layoffs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/2/2020,2019-1112,Temporary Plant Layoff,Hudson's Bay Company,"225 Liberty StreetNew York, NY 10281",New York County,(917) 763-5290,Retail,507,,The,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/15/2020,2019-1388,Temporary Plant Layoff,"MJ Mechanical Services, Inc.","95 Pirson ParkwayTonawanda, NY 14150",Erie County,(716) 844-3613,Mechanical Contractor,44,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,2019-0949,Temporary Plant Closing,The Century Association (the Club),"7 West 43rd StreetNew York, NY 10036",New York County,(516) 695-3075,Social Club,81,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,"Local 6 
Hotel, Restaurant & Club Employees & Bartenders Union, UNITE-HERE",Temporary Plant Closing
4/10/2020,2019-1245,"Temporary Plant 
Closing","Tiger Retail Coast, LLC dba Flying Tiger Copenhagen","424 Columbus AvenueNew York, NY 10024",New York/Kings County,(212) 777-1239,Retail,64,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,"Temporary Plant 
Closing"
4/17/2020,2019-1527,Temporary Plant Layoff,Wolf Eastside LLC dba Wolfgang's Steakhouse,"200 East 54th StreetNew York, NY 10012",New York County,(646) 642-4655,Restaurant,65,,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/21/2020,2019-1526,Plant Layoff,Rising Ground,"Family Treatment and Rehabilitation Program and COS Program1529 Williamsbridge RoadBronx, NY 10461",New York/Bronx County,(914) 375-8758,Human Services,54,,5/29/2020,Contract Loss,The employees are not represented by a union,Plant Layoff
4/27/2020,2019-1538,Plant Closing,"Spirit & Sanzone Distributors Co., Inc.","6495 Fly Road, P.O. Box 696East Syracuse, NY 13067",Onondaga County,(315) 463-6103,Wine Wholesaler,64,,6/1/2020,Sale of Business,The employees are not represented by a union,Plant Closing
4/27/2020,2019-1539,Plant Closing,"Other Spirit & Sanzone Distributors Co., Inc.","9396 Route 49Marcy, NY 13403",Oneida County,(315) 463-6103,Wine Wholesaler,32,,6/1/2020,Sale of Business,The employees are not represented by a union,Plant Closing
3/18/2020,2019-0395,Temporary Plant Closing,"Birth of the Cool, LLC dba Eleven Madison Park","11 Madison Ave.New York, NY 10010",New Yok County,(647) 747-2612,Restaurant,178,178,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
3/30/2020,2019-0936,Temporary Plant Layoff,RL Baxter Building Corp.,"278 Mill Street, Suite 100Poughkeepsie, NY 12601",Dutchess County,(845) 471-1047,General Contractor,6,,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,2019-1047,Temporary Plant Layoff,Araca Merchandise L.P.,"545 West 45th Street, 10th FloorNew York, NY 10036",New York County,(347) 920-0080,Production Company,107,,3/12/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/24/2020,2019-1540,Temporary Plant Layoff,"Able Services, Inc.","40 Sunshine Cottage RoadValhalla, NY 10595",Westchester County,(646) 998-7511,Janitorial Engineering,28,,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,"Service Employees Internation Union, Local 32BJ, International Union of Operating Engineers",Temporary Plant Layoff
4/22/2020,2019-1541,Plant Layoff,Equinox Holdings Inc.,"31 Hudson YardsNew York, NY 10001",New York County,-----,Fitness Club,70,,4/24/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
3/27/2020,2019-1542,Temporary Plant Layoff,"Nationwide Court Services, Inc.","20 Vesey St.Manhattan, NY 10007",New York County,(631) 981-4400 Ext,Legal Services,22,,4/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,2019-1543,Temporary Plant Layoff,"Nationwide Court Services, Inc.","761 Koehler AvenueRonkonkoma, NY 11779",Suffolk/Nassau County,(631) 981-4400 Ext,Legal Services,68,,4/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,2019-1262,Temporary Plant Layoff,"HH Brown Shoe Co., Inc.","dba Super Shoes2044 Saranac LakeLake Placid, NY 12946",Clinton/Essex County,(203) 273-6765,Shoe Store,25,,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,2019-1261,Temporary Plant Layoff,"HH Brown Shoe Co., Inc.","dba Super Shoes1440 Central AvenueAlbany, NY 12205",Albany/Warren County,(203) 273-6765,Shoe Store,36,,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,2019-1260,Temporary Plant Layoff,"HH Brown Shoe Co., Inc.","dba Super Shoes230 Amsterdam CommonsAmsterdam, NY 12010",Oneida/Montgomery County,(203) 273-6765,Shoe Store,32,,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,2019-1064,"Temporary Plant 
Layoff",New York City & Vicinity District Council of Carpenters,"395 Hudson Street, 1st Floor and 9th FloorNew York, NY 10014",Queens/New York County,(917) 376-5528,Carpentry Organization,85,,4/3/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,"Temporary Plant 
Layoff"
3/27/2020,2019-1011,Temporary Plant Closing,"LeNoble Lumber Co., Inc.","38-20 Review AvenueLong Island City, NY 11101",Queens County,(718) 784-5230,Lumber and Building Material Distribution,99,99,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,"International Brotherhood of Teamsters, Local 522",Temporary Plant Closing
4/23/2020,2019-1524,Plant Closing,"John R. Mott, Inc.","11 Access RoadAlbany, NY 12205",Albany County,(518) 452-0164,Transportation Carrier,68,,6/30/2020,Death of Company President and Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Closing
4/24/2020,2019-1509,Plant Layoff,"Kitopi Catering Services, LLC","12 E. 33rd StreetNew York, NY 10016",New York County,(201) 987-6635,Food preparation and delivery services,124,,4/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
4/20/2020,2019-1513,Temporary Plant Closing,Gigino at Wagner Park LLC,"20 Battery PlaceNew York, NY 10004",New York County,(212) 431-1112,Restaurant,24,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/20/2020,2019-1514,Temporary Plant Layoff,Gigino Inc. dba Gigino Trattoria,"323 Greenwich StreetNew York, NY 10013",New York County,(212) 431-1112,Restaurant,38,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/29/2020,2019-1515,Temporary Plant Closing,181 Thompson Street LLC,"181 Thompson StreetNew York, NY 10012",New York County,-----,Restaurant,120,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,2019-1518,Temporary Plant Closing,Ark Museum LLC dba Robert,"2 Columbus CircleNew York, NY 10019",New York County,(212) 206-8800,Restaurant,84,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,2019-1519,Temporary Plant Closing,Ark Bryant Park Southwest dba Fever Tree at the Porch,"41 W. 40th StreetNew York, NY 10018",New York County,(212) 206-8800,Outdoor Lounge/Restaurant,17,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,2019-1520,Temporary Plant Closing,Rio Restaurant Associates LP dba El Rio Grande,"160 E. 38th StreetNew York, NY 10016",New York County,(212) 206-8800,Restaurant,60,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,2019-1521,Temporary Plant Closing,Ark Bryant Park LLC dba Bryant Park Grill,"25 W. 40th StreetNew York, NY 10018",New York County,(212) 206-8800,Restaurant,157,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,2019-1522,Temporary Plant Closing,Clyde Ark LLC dba Clyde Frazier's Wine and Dine,"485 10th AvenueNew York, NY 10018",New York County,(212) 206-8800,Restaurant,75,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/21/2020,2019-1516,Temporary Plant Layoff and Plant Closing,"Doughnut Plant Management, Inc.","3100 47th Avenue, Suite 1100Long Island City, NY 11101",Queens/Kings/New York County,(646) 220-1191,Bakery,,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Layoff
4/22/2020,2019-1492,Temporary Plant Closing,Visionworks (Capital Region),12 Capital Region locations,Albany/Saratoga/Warren/Rensselaer/Schenectady County,(833) 663-4748,Eye Care,91,91,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/15/2020,2019-1517,Temporary Plant Layoff,Bruce Supply Corp.,"8805 18th AvenueBrooklyn, NY 11214",Kings County,(718) 259-4900 Ext,"Plumbing, Heating, PVF, Waterworks, and Fire Protection Supplies",58,,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,"UFCW Local 888, IBT Local 282",Temporary Plant Layoff
4/15/2020,2019-1523,Temporary Plant Layoff,Bruce Supply Corp.,"650 West Merrick RoadValley Stream, NY 11580",Nassau County,(718) 259-4900 Ext,"Plumbing, Heating, PVF, Fire Protection, and Waterworks Supplies",15,,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,"UFCW Local 888, IBT Local 282",Temporary Plant Layoff
4/22/2020,2019-1499,Temporary Plant Closing,Visionworks (North Country Region),3 North Country Region locations,Jefferson/St. Lawrence/Clinton County,(833) 663-4748,Eye Care,18,18,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,2019-1500,Temporary Plant Closing,Visionworks (Southern Region),7 Southern Region locations,Broome/Chemung/Tompkins/Chenango/Otsego/Steuben County,(833) 663-4748,Eye Care,47,47,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,2019-1498,Temporary Plant Closing,Visionworks (New York City Region),7 New York City Region locations,Queens/Bronx/Kings/Richmond County,(833) 663-4748,Eye Care,49,49,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,2019-1497,Temporary Plant Closing,Visionworks (Mohawk Valley Region),5 Mohawk Valley Region locations,Oneida/Montgomery/Madison County,(833) 663-4748,Eye Care,41,41,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,2019-1494,Temporary Plant Closing,Visionworks (Finger Lakes Region),7 Finger Lakes Region locations,Monroe/Genesee County,(833) 663-4748,Eye Care,44,44,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,2019-1495,Temporary Plant Closing,Visionworks (Long Island Region),20 Long Island Region locations,Suffolk/Nassau County,(833) 663-4748,Eye Care,210,210,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,2019-1496,Temporary Plant Closing,Visionworks (Mid-Hudson Region),5 Mid-Hudson Region locations,Westchester/Rockland/Ulster/Dutchess County,(833) 663-4748,Eye Care,34,34,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,2019-1493,Temporary Plant Closing,Visionworks (Central Region),12 Central Region locations,Onondaga/Cortland/Oswego/Cayuga County,(833) 663-4748,Eye Care,74,74,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,2019-1501,Temporary Plant Closing,Visionworks (Western Region),7 Western Region locations,Erie/Niagara County,(833) 663-4748,Eye Care,40,40,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/23/2020,2019-1488,Temporary Plant Layoff,"EFCO Products, Inc.","130 Smith StreetPoughkeepsie, NY 12601",Dutchess County,(845) 452-4715 Ext,Manufacturing,16,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/22/2020,2019-1483,Temporary Plant Closing,YMCA of Greater New York (New York YMCA Camp),"160 Big Pond RoadHuguenot, NY 12746",Orange County,(212) 630-9614,Day Camp,61,61,4/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,2019-1491,Temporary Plant Closing,"Shake Shack Enterprises, LLC dba Woodbury Commons Shake Shack","199 Niagra LaneCentral Valley, NY 10917",Orange County,(480) 201-7199,Restaurant,62,62,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,2019-1490,Temporary Plant Closing,"Shake Shack Enterprises, LLC dba Hudson Yards Shake Shack","20 Hudson YardsNew York, NY 10001",New York County,(480) 201-7199,Restaurant,40,40,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/20/2020,2019-1502,Temporary Plant Layoff,Joint Billion New York LLC,"JFK International Airport, Terminal 4, Room 126.001Jamaica, NY 11430",Queens County,(646) 218-7513,Airline Services,48,,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,"IAM District 15, Local Lodge 447",Temporary Plant Layoff
4/21/2020,2019-1506,Temporary Plant Layoff,"NYY Steak, LLC","7 West 51st StreetNew York, NY 10019",New York County,(954) 797-5478,Restaurant,49,,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/21/2020,2019-1505,Temporary Plant Layoff,Hard Rock Café New York,"1501 BroadwayNew York, NY 10036",New York County,(954) 797-5478,Restaurant,456,,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
